procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4734032 905096 5894464    0    0     0    68  719 1849  1  0 99  0  0
 0  0      0 4732532 905096 5894476    0    0     0    50  663 1599  1  0 99  0  0
 0  0      0 4732056 905096 5894476    0    0     0   153  725 1662  0  0 99  0  0
 0  0      0 4716048 905112 5912072    0    0     0    58 1035 2062  1  0 99  0  0
 0  0      0 4736148 905116 5890028    0    0     0    68  673 1470  1  0 99  0  0
 0  0      0 4722468 905124 5906900    0    0     0    37  750 1692  1  0 99  0  0
 0  0      0 4745840 905124 5890104    0    0     0    58  739 1596  1  0 99  0  0
 0  0      0 4745028 905132 5890064    0    0     0   112  676 1600  1  0 99  0  0
 0  0      0 4756824 905136 5890004    0    0     0    61 1060 1645  1  0 99  0  0
 1  0      0 4749720 905144 5900280    0    0     0    65  705 1705  1  0 99  0  0
 0  0      0 4692924 905152 5939396    0    0     0    11 2287 4083  2  1 97  0  0
 2  0      0 4715884 905492 5910968    0    0     0  1002 2902 5886  3  1 96  0  0
 0  0      0 4703216 905500 5916168    0    0     0    38 4293 7333  4  1 95  0  0
 0  0      0 4691644 905508 5931760    0    0     0   170 3469 6089  3  1 96  0  0
 0  0      0 4723580 905520 5899880    0    0     0    62 3945 6326  4  1 96  0  0
 0  0      0 4722856 905520 5897444    0    0     0    46 1891 3013  1  0 98  0  0
 0  0      0 4713944 905520 5911468    0    0     0    99 2302 3585  2  1 98  0  0
 0  0      0 4723416 905528 5911352    0    0     0    74 3292 3204  1  1 98  0  0
 1  0      0 4739720 905536 5902620    0    0     0    53 3383 2951  1  1 98  0  0
 0  0      0 4741012 905540 5903156    0    0     0    66 3211 3096  1  1 98  0  0
 2  0      0 4706588 905540 5914316    0    0     0    70 1832 3520  2  1 97  0  0
 0  0      0 4727732 905544 5907980    0    0     0    32 1260 2929  2  1 97  0  0
 1  0      0 4700064 905544 5925696    0    0     0    82 1556 2818  2  1 97  0  0
 0  0      0 4714208 905708 5932880    0    0     0   947 2138 4955  3  1 96  0  0
 2  0      0 4674456 905752 5939936    0    0     0  5474 2427 6145  5  1 94  0  0
 0  0      0 4651700 905768 5939500    0    0     0   117 1776 4339  4  1 96  0  0
 3  0      0 4606988 905800 5963464    0    0     0   159 2309 6263  4  1 95  0  0
 1  0      0 4586344 905812 5958944    0    0     0    40 4443 8149  5  2 93  0  0
 1  0      0 4623820 905824 5938684    0    0     4   603 1541 3171  2  1 97  0  0
 0  0      0 4669056 905860 5914300    0    0     0    81 3792 5640  3  1 96  0  0
 2  0      0 4625264 905864 5952488    0    0     0   241 2771 4579  2  1 97  0  0
 0  0      0 4672520 905864 5929000    0    0     0    32 1402 3404  2  1 97  0  0
 0  0      0 4700196 905868 5923944    0    0     0    48 2472 3643  2  1 97  0  0
 0  0      0 4702464 905876 5926648    0    0     0    64 1214 3208  2  0 97  0  0
 0  0      0 4727676 905876 5914836    0    0     0    53 1624 4066  3  1 96  0  0
 0  0      0 4708228 906304 5911784    0    0     0  1018 2190 4435  2  1 96  1  0
 2  0      0 4703876 906312 5914532    0    0     0     5 4135 5871  3  1 96  0  0
 0  0      0 4700624 906316 5911548    0    0     0   138 2519 3986  2  1 97  0  0
 0  0      0 4700520 906324 5921888    0    0     0    74 3328 3828  2  1 98  0  0
 1  0      0 4676596 906336 5925808    0    0     0   101 4563 6684  5  1 94  0  0
 1  0      0 4696748 906336 5920064    0    0     0   101 3030 3447  1  1 98  0  0
 0  0      0 4671068 906340 5928204    0    0     0   161 3083 4855  3  1 96  0  0
 0  0      0 4680740 906340 5928300    0    0     0   102 3565 4328  2  1 97  0  0
 1  0      0 4676104 906344 5929788    0    0     0    42 2987 5474  3  1 96  0  0
 0  0      0 4674096 906344 5929488    0    0     0    96 3306 5157  3  1 96  0  0
 0  0      0 4691860 906348 5938352    0    0     0    45 3664 6422  4  1 94  0  0
